id_participante,estado_asistencia,tiempo_registro_seg,hay_error,tiempo_extra_por_error,registro_duplicado,evento_id
1,presente,48.45,True,60.0,False,Sesion_1
2,presente,28.73,False,0.0,False,Sesion_1
3,presente,31.32,False,0.0,False,Sesion_1
4,ausente,0.0,False,0.0,False,Sesion_1
5,presente,31.18,False,0.0,False,Sesion_1
6,tardanza,29.75,True,60.0,False,Sesion_1
7,tardanza,50.33,False,0.0,False,Sesion_1
8,presente,30.16,True,60.0,False,Sesion_1
9,ausente,0.0,False,0.0,False,Sesion_1
10,ausente,0.0,False,0.0,False,Sesion_1
11,presente,35.44,False,0.0,False,Sesion_1
12,presente,31.11,False,0.0,False,Sesion_1
13,ausente,0.0,False,0.0,False,Sesion_1
14,presente,23.46,True,60.0,False,Sesion_1
15,presente,31.41,False,0.0,False,Sesion_1
16,presente,33.57,False,0.0,False,Sesion_1
17,presente,39.52,False,0.0,False,Sesion_1
18,presente,38.44,False,0.0,False,Sesion_1
19,presente,35.57,True,60.0,False,Sesion_1
20,presente,33.94,False,0.0,False,Sesion_1
21,presente,29.25,False,0.0,False,Sesion_1
22,presente,42.69,False,0.0,False,Sesion_1
23,presente,26.08,False,0.0,False,Sesion_1
24,presente,32.53,False,0.0,False,Sesion_1
25,presente,56.52,False,0.0,False,Sesion_1
26,presente,40.76,False,0.0,False,Sesion_1
27,ausente,0.0,False,0.0,False,Sesion_1
28,presente,34.31,False,0.0,False,Sesion_1
29,presente,26.18,False,0.0,False,Sesion_1
30,presente,26.92,False,0.0,False,Sesion_1
31,ausente,0.0,False,0.0,False,Sesion_1
32,tardanza,31.06,False,0.0,False,Sesion_1
33,presente,27.8,False,0.0,False,Sesion_1
34,presente,26.54,False,0.0,False,Sesion_1
35,presente,43.19,False,0.0,False,Sesion_1
36,presente,44.82,False,0.0,False,Sesion_1
37,presente,45.55,False,0.0,False,Sesion_1
38,tardanza,44.68,False,0.0,False,Sesion_1
39,presente,30.76,False,0.0,False,Sesion_1
40,presente,36.25,False,0.0,False,Sesion_1
41,presente,24.42,False,0.0,False,Sesion_1
42,ausente,0.0,False,0.0,False,Sesion_1
43,presente,32.65,False,0.0,False,Sesion_1
44,presente,13.03,False,0.0,False,Sesion_1
45,presente,42.15,False,0.0,False,Sesion_1
46,tardanza,32.87,False,0.0,False,Sesion_1
47,presente,20.83,False,0.0,False,Sesion_1
48,presente,48.6,False,0.0,False,Sesion_1
49,ausente,0.0,False,0.0,False,Sesion_1
50,presente,23.77,False,0.0,False,Sesion_1
51,presente,32.96,False,0.0,False,Sesion_1
52,presente,26.63,False,0.0,False,Sesion_1
53,tardanza,29.86,False,0.0,False,Sesion_1
54,presente,33.02,False,0.0,False,Sesion_1
55,presente,29.67,True,60.0,False,Sesion_1
56,presente,40.2,False,0.0,False,Sesion_1
57,presente,43.43,False,0.0,False,Sesion_1
58,presente,19.2,False,0.0,False,Sesion_1
59,presente,32.35,False,0.0,False,Sesion_1
60,ausente,0.0,False,0.0,False,Sesion_1
61,ausente,0.0,False,0.0,False,Sesion_1
62,presente,42.05,False,0.0,False,Sesion_1
63,presente,38.27,False,0.0,False,Sesion_1
64,presente,17.32,False,0.0,False,Sesion_1
65,presente,34.25,False,0.0,False,Sesion_1
66,presente,58.94,True,60.0,False,Sesion_1
67,presente,34.55,False,0.0,False,Sesion_1
68,presente,54.94,False,0.0,False,Sesion_1
69,presente,21.14,False,0.0,False,Sesion_1
70,presente,32.61,False,0.0,False,Sesion_1
70,presente,33.75,False,0.0,True,Sesion_1
71,presente,28.32,False,0.0,False,Sesion_1
72,presente,31.58,False,0.0,False,Sesion_1
73,presente,29.18,True,60.0,False,Sesion_1
74,ausente,0.0,False,0.0,False,Sesion_1
75,presente,32.66,False,0.0,False,Sesion_1
76,tardanza,44.97,False,0.0,False,Sesion_1
77,presente,44.71,True,60.0,False,Sesion_1
78,presente,29.36,False,0.0,False,Sesion_1
79,tardanza,26.12,False,0.0,False,Sesion_1
80,presente,37.39,True,60.0,False,Sesion_1
81,presente,41.77,False,0.0,False,Sesion_1
82,presente,26.31,False,0.0,False,Sesion_1
83,presente,21.58,False,0.0,False,Sesion_1
84,ausente,0.0,False,0.0,False,Sesion_1
85,presente,37.16,False,0.0,False,Sesion_1
86,presente,40.05,False,0.0,False,Sesion_1
87,presente,47.87,True,60.0,False,Sesion_1
88,presente,28.65,True,60.0,False,Sesion_1
89,tardanza,38.09,False,0.0,False,Sesion_1
90,presente,44.58,False,0.0,False,Sesion_1
91,tardanza,27.92,True,60.0,False,Sesion_1
92,ausente,0.0,False,0.0,False,Sesion_1
93,ausente,0.0,False,0.0,False,Sesion_1
94,presente,17.47,False,0.0,False,Sesion_1
95,presente,32.55,False,0.0,False,Sesion_1
96,tardanza,21.84,False,0.0,False,Sesion_1
97,presente,26.39,False,0.0,False,Sesion_1
98,presente,29.66,True,60.0,False,Sesion_1
99,presente,26.57,False,0.0,False,Sesion_1
100,tardanza,29.34,False,0.0,False,Sesion_1
101,presente,13.26,True,60.0,False,Sesion_1
102,ausente,0.0,False,0.0,False,Sesion_1
103,presente,22.3,False,0.0,False,Sesion_1
104,tardanza,41.83,False,0.0,False,Sesion_1
105,tardanza,26.76,False,0.0,False,Sesion_1
106,presente,39.16,False,0.0,False,Sesion_1
107,presente,48.78,False,0.0,False,Sesion_1
108,presente,22.55,True,60.0,False,Sesion_1
109,presente,29.11,False,0.0,False,Sesion_1
110,presente,36.72,False,0.0,False,Sesion_1
111,presente,15.83,False,0.0,False,Sesion_1
112,presente,32.05,True,60.0,False,Sesion_1
113,presente,26.46,False,0.0,False,Sesion_1
114,presente,39.93,False,0.0,False,Sesion_1
115,presente,33.12,False,0.0,False,Sesion_1
116,presente,35.05,False,0.0,False,Sesion_1
117,presente,29.8,False,0.0,False,Sesion_1
118,tardanza,29.31,False,0.0,False,Sesion_1
119,presente,32.7,False,0.0,False,Sesion_1
120,presente,40.2,False,0.0,False,Sesion_1
121,presente,13.32,False,0.0,False,Sesion_1
122,tardanza,20.46,False,0.0,False,Sesion_1
123,presente,55.69,False,0.0,False,Sesion_1
124,presente,41.81,False,0.0,False,Sesion_1
125,presente,30.3,False,0.0,False,Sesion_1
126,presente,38.6,False,0.0,False,Sesion_1
127,presente,33.76,False,0.0,False,Sesion_1
127,presente,35.85,False,0.0,True,Sesion_1
128,presente,39.71,False,0.0,False,Sesion_1
129,presente,45.02,True,60.0,False,Sesion_1
130,presente,22.42,False,0.0,False,Sesion_1
131,presente,28.35,True,60.0,False,Sesion_1
132,presente,32.37,False,0.0,False,Sesion_1
133,presente,20.69,False,0.0,False,Sesion_1
134,presente,43.38,False,0.0,False,Sesion_1
135,tardanza,31.1,False,0.0,False,Sesion_1
136,presente,46.15,True,60.0,False,Sesion_1
137,presente,41.35,False,0.0,False,Sesion_1
138,presente,29.68,False,0.0,False,Sesion_1
139,presente,35.33,False,0.0,False,Sesion_1
140,presente,30.03,False,0.0,False,Sesion_1
141,ausente,0.0,False,0.0,False,Sesion_1
142,presente,26.54,False,0.0,False,Sesion_1
143,tardanza,29.91,True,60.0,False,Sesion_1
144,presente,33.99,False,0.0,False,Sesion_1
145,presente,35.87,False,0.0,False,Sesion_1
146,presente,40.35,False,0.0,False,Sesion_1
147,presente,40.46,False,0.0,False,Sesion_1
148,ausente,0.0,False,0.0,False,Sesion_1
149,presente,33.59,False,0.0,False,Sesion_1
150,presente,33.64,False,0.0,False,Sesion_1
151,presente,45.95,False,0.0,False,Sesion_1
152,presente,37.96,False,0.0,False,Sesion_1
153,presente,39.14,False,0.0,False,Sesion_1
154,presente,39.42,False,0.0,False,Sesion_1
155,ausente,0.0,False,0.0,False,Sesion_1
156,ausente,0.0,False,0.0,False,Sesion_1
157,presente,35.87,False,0.0,False,Sesion_1
158,presente,39.45,False,0.0,False,Sesion_1
159,presente,37.02,False,0.0,False,Sesion_1
160,tardanza,30.92,False,0.0,False,Sesion_1
161,presente,37.99,False,0.0,False,Sesion_1
162,presente,32.82,False,0.0,False,Sesion_1
163,presente,44.98,False,0.0,False,Sesion_1
164,tardanza,37.18,False,0.0,False,Sesion_1
165,presente,31.52,True,60.0,False,Sesion_1
166,presente,30.96,False,0.0,False,Sesion_1
167,presente,20.79,False,0.0,False,Sesion_1
168,presente,38.17,True,60.0,False,Sesion_1
169,tardanza,34.85,False,0.0,False,Sesion_1
170,presente,44.87,False,0.0,False,Sesion_1
171,presente,43.57,True,60.0,False,Sesion_1
172,tardanza,53.15,False,0.0,False,Sesion_1
173,tardanza,28.68,False,0.0,False,Sesion_1
174,presente,35.37,False,0.0,False,Sesion_1
175,presente,51.56,False,0.0,False,Sesion_1
176,tardanza,32.1,False,0.0,False,Sesion_1
177,ausente,0.0,False,0.0,False,Sesion_1
178,presente,28.56,False,0.0,False,Sesion_1
179,presente,59.69,True,60.0,False,Sesion_1
180,presente,38.64,False,0.0,False,Sesion_1
181,presente,36.52,True,60.0,False,Sesion_1
182,tardanza,52.31,False,0.0,False,Sesion_1
183,presente,38.86,False,0.0,False,Sesion_1
184,presente,34.08,False,0.0,False,Sesion_1
185,presente,26.97,True,60.0,False,Sesion_1
186,presente,17.38,False,0.0,False,Sesion_1
187,presente,28.39,False,0.0,False,Sesion_1
188,presente,59.24,False,0.0,False,Sesion_1
189,presente,45.73,False,0.0,False,Sesion_1
190,presente,27.38,False,0.0,False,Sesion_1
191,presente,42.55,False,0.0,False,Sesion_1
192,presente,30.35,False,0.0,False,Sesion_1
193,tardanza,23.12,False,0.0,False,Sesion_1
194,presente,16.37,False,0.0,False,Sesion_1
195,presente,33.57,False,0.0,False,Sesion_1
196,ausente,0.0,False,0.0,False,Sesion_1
197,presente,42.83,False,0.0,False,Sesion_1
198,presente,36.81,False,0.0,False,Sesion_1
199,ausente,0.0,False,0.0,False,Sesion_1
200,presente,40.23,False,0.0,False,Sesion_1
201,presente,41.92,False,0.0,False,Sesion_1
202,presente,26.04,True,60.0,False,Sesion_1
203,tardanza,33.52,False,0.0,False,Sesion_1
204,presente,18.48,False,0.0,False,Sesion_1
205,presente,60.94,False,0.0,False,Sesion_1
206,ausente,0.0,False,0.0,False,Sesion_1
207,presente,33.05,False,0.0,False,Sesion_1
208,ausente,0.0,False,0.0,False,Sesion_1
209,presente,31.23,False,0.0,False,Sesion_1
210,presente,37.22,False,0.0,False,Sesion_1
211,presente,31.89,False,0.0,False,Sesion_1
212,presente,22.02,False,0.0,False,Sesion_1
213,presente,41.92,False,0.0,False,Sesion_1
214,presente,39.57,False,0.0,False,Sesion_1
215,presente,26.65,False,0.0,False,Sesion_1
216,presente,32.99,True,60.0,False,Sesion_1
217,presente,37.63,False,0.0,False,Sesion_1
218,presente,38.15,False,0.0,False,Sesion_1
219,presente,19.95,True,60.0,False,Sesion_1
220,presente,48.07,False,0.0,False,Sesion_1
221,presente,27.92,False,0.0,False,Sesion_1
222,presente,39.47,False,0.0,False,Sesion_1
223,presente,20.32,False,0.0,False,Sesion_1
224,presente,45.78,False,0.0,False,Sesion_1
225,presente,21.59,True,60.0,False,Sesion_1
226,presente,17.39,False,0.0,False,Sesion_1
227,presente,40.52,True,60.0,False,Sesion_1
227,presente,44.26,True,60.0,True,Sesion_1
228,presente,62.3,False,0.0,False,Sesion_1
229,presente,33.93,False,0.0,False,Sesion_1
230,tardanza,36.57,False,0.0,False,Sesion_1
231,presente,43.06,False,0.0,False,Sesion_1
232,presente,42.77,False,0.0,False,Sesion_1
233,presente,35.68,False,0.0,False,Sesion_1
234,presente,28.95,False,0.0,False,Sesion_1
235,presente,31.49,False,0.0,False,Sesion_1
236,presente,40.97,False,0.0,False,Sesion_1
237,presente,32.72,False,0.0,False,Sesion_1
238,tardanza,28.64,False,0.0,False,Sesion_1
239,tardanza,35.35,False,0.0,False,Sesion_1
240,presente,41.87,False,0.0,False,Sesion_1
241,presente,42.29,False,0.0,False,Sesion_1
242,presente,37.54,False,0.0,False,Sesion_1
243,presente,28.53,False,0.0,False,Sesion_1
244,presente,46.58,True,60.0,False,Sesion_1
245,presente,22.38,False,0.0,False,Sesion_1
246,tardanza,29.02,False,0.0,False,Sesion_1
247,presente,31.34,False,0.0,False,Sesion_1
248,presente,13.28,False,0.0,False,Sesion_1
249,presente,40.09,False,0.0,False,Sesion_1
250,ausente,0.0,False,0.0,False,Sesion_1
251,presente,54.63,False,0.0,False,Sesion_1
252,presente,38.67,False,0.0,False,Sesion_1
253,presente,31.05,False,0.0,False,Sesion_1
254,presente,28.78,True,60.0,False,Sesion_1
255,presente,41.16,True,60.0,False,Sesion_1
256,presente,18.67,True,60.0,False,Sesion_1
257,presente,38.21,False,0.0,False,Sesion_1
258,presente,39.89,False,0.0,False,Sesion_1
259,presente,28.11,False,0.0,False,Sesion_1
260,presente,41.26,False,0.0,False,Sesion_1
1,presente,41.21,False,0.0,False,Sesion_2
2,presente,25.84,False,0.0,False,Sesion_2
3,presente,26.71,False,0.0,False,Sesion_2
4,presente,27.21,False,0.0,False,Sesion_2
5,tardanza,29.9,False,0.0,False,Sesion_2
6,tardanza,31.81,True,60.0,False,Sesion_2
7,presente,35.27,False,0.0,False,Sesion_2
8,tardanza,33.31,False,0.0,False,Sesion_2
9,presente,29.24,False,0.0,False,Sesion_2
10,presente,34.26,True,60.0,False,Sesion_2
11,presente,32.93,False,0.0,False,Sesion_2
12,presente,34.38,False,0.0,False,Sesion_2
13,presente,41.28,False,0.0,False,Sesion_2
14,presente,49.1,False,0.0,False,Sesion_2
15,presente,33.1,False,0.0,False,Sesion_2
16,presente,29.03,False,0.0,False,Sesion_2
17,presente,28.01,False,0.0,False,Sesion_2
18,tardanza,43.57,False,0.0,False,Sesion_2
19,presente,35.08,False,0.0,False,Sesion_2
20,presente,35.92,False,0.0,False,Sesion_2
21,presente,14.63,False,0.0,False,Sesion_2
22,presente,32.33,False,0.0,False,Sesion_2
23,presente,53.0,False,0.0,False,Sesion_2
24,presente,21.93,False,0.0,False,Sesion_2
25,presente,17.67,False,0.0,False,Sesion_2
